Unnamed: 0,id,url,type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,buildingCondition,buildingConstructionYear,facedeCount,floodZoneType,heatingType,kitchenType,hasLivingRoom,toiletCount,hasTerrace,epcScore,price
9421,20629893.0,https://www.immoweb.be/en/classified/house/for-sale/wandre/4020/20629893,HOUSE,HOUSE,4.0,1.0,Liège,Wandre,4020,221.0,TO_BE_DONE_UP,1967.0,3.0,NON_FLOOD_ZONE,FUELOIL,NOT_INSTALLED,True,3.0,True,G,280000.0
9441,20590633.0,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20590633,APARTMENT,APARTMENT,2.0,1.0,Antwerp,DEURNE,2100,80.0,GOOD,2017.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,1.0,True,A,275000.0
9466,20547655.0,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20547655,APARTMENT,APARTMENT,2.0,1.0,Antwerp,DEURNE,2100,70.0,AS_NEW,1967.0,2.0,RECOGNIZED_FLOOD_ZONE,GAS,SEMI_EQUIPPED,True,1.0,True,B,139000.0
9467,20585913.0,https://www.immoweb.be/en/classified/apartment/for-sale/merksem/2170/20585913,APARTMENT,APARTMENT,1.0,1.0,Antwerp,MERKSEM,2170,75.0,TO_BE_DONE_UP,1968.0,2.0,NON_FLOOD_ZONE,GAS,SEMI_EQUIPPED,True,1.0,True,B,155000.0
9470,20327538.0,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/20327538,APARTMENT,APARTMENT,1.0,1.0,Walloon Brabant,WAVRE,1300,59.0,GOOD,1994.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,1.0,True,B,167000.0
9471,20514315.0,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20514315,APARTMENT,APARTMENT,1.0,1.0,Brussels,Woluwe-Saint-Lambert,1200,45.0,TO_BE_DONE_UP,1960.0,2.0,NON_FLOOD_ZONE,GAS,SEMI_EQUIPPED,True,1.0,True,D,205000.0
9472,20218830.0,https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/20218830,APARTMENT,APARTMENT,3.0,1.0,Walloon Brabant,NIVELLES,1400,100.0,TO_BE_DONE_UP,1972.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,1.0,True,C,219000.0
9473,20497746.0,https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/20497746,APARTMENT,APARTMENT,1.0,1.0,Antwerp,Wilrijk,2610,68.0,JUST_RENOVATED,1968.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,1.0,True,B,219500.0
9474,20453088.0,https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/20453088,APARTMENT,APARTMENT,2.0,1.0,Antwerp,WILLEBROEK,2830,85.0,GOOD,1993.0,2.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,1.0,True,B,229000.0
9476,20348466.0,https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/20348466,APARTMENT,APARTMENT,2.0,1.0,Antwerp,BORGERHOUT,2140,78.0,AS_NEW,2017.0,4.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,1.0,True,A,237500.0
9479,20586204.0,https://www.immoweb.be/en/classified/apartment/for-sale/boom/2850/20586204,APARTMENT,APARTMENT,3.0,1.0,Antwerp,BOOM,2850,120.0,JUST_RENOVATED,1967.0,3.0,NON_FLOOD_ZONE,GAS,SEMI_EQUIPPED,True,1.0,True,C,249000.0
